country;region
Tanzania (United Republic of);Africa-E
Côte d'Ivoire;Africa-W
Cameroon;Africa-W
Ghana;Africa-W
Nigeria;Africa-W
Sierra Leone;Africa-W
The Gambia;Africa-W
Equatorial Guinea;Africa-W
São Tomé and Príncipe;Africa-W
Burkina Faso;Africa-W
Madagascar;Africa-E
Kenya;Africa-E
Guinea;Africa-W
Mali;Africa-W
Eritrea;Africa-E
Democratic Republic of the Congo;Africa-E
Senegal;Africa-W
Mozambique;Africa-E
Sudan;Africa-E
Ethiopia;Africa-E
Benin;Africa-W
Gabon;Africa-W
South Africa;Africa-E
Uganda;Africa-E
Angola;Africa-E
Réunion;Africa-E
Congo;Africa-E
Comoros;Africa-E
Guinea-Bissau;Africa-W
Niger;Africa-W
Zambia;Africa-E
Burundi;Africa-E
Zimbabwe;Africa-E
Mauritania;Africa-W
Chad;Africa-E
Malawi;Africa-E
Belize;Americas
Mexico;Americas
Colombia;Americas
Dominican Republic;Americas
Venezuela;Americas
Brazil;Americas
Guyana;Americas
Peru;Americas
Suriname;Americas
French Guiana;Americas
Bolivia;Americas
Cuba;Americas
Haiti;Americas
Guatemala;Americas
Trinidad and Tobago;Americas
United States of America;Americas
Costa Rica;Americas
Panama;Americas
Yemen;Asia-Pacific
Sri Lanka;Asia-Pacific
Cambodia;Asia-Pacific
India;Asia-Pacific
Malaysia;Asia-Pacific
Thailand;Asia-Pacific
Indonesia;Asia-Pacific
Timor-Leste;Asia-Pacific
Viet Nam;Asia-Pacific
Bangladesh;Asia-Pacific
Philippines;Asia-Pacific
China;Asia-Pacific
Myanmar;Asia-Pacific
Iran;Asia-Pacific
Lao People's Democratic Republic;Asia-Pacific
Nepal;Asia-Pacific
Taiwan;Asia-Pacific
Pakistan;Asia-Pacific
Papua New Guinea;Asia-Pacific
Korea, Republic of;Asia-Pacific
Korea, Democratic People's Republic of;Asia-Pacific
Singapore;Asia-Pacific
Solomon Islands;Asia-Pacific
Afghanistan;Asia-Pacific
STP;Africa-W
